java.util.LinkedList,	32,	1.09294E-4,	3.3187E-5
java.util.LinkedList,	64,	2.3278E-4,	2.5495E-5
java.util.LinkedList,	128,	9.8735E-5,	1.82E-5
java.util.LinkedList,	256,	2.78009E-4,	4.1021E-5
java.util.LinkedList,	512,	0.001052544,	1.24427E-4
java.util.LinkedList,	1024,	0.003206364,	3.88755E-4
java.util.LinkedList,	2048,	0.018115869,	0.001906605
java.util.LinkedList,	4096,	0.104152711,	0.008973021
java.util.LinkedList,	8192,	0.742417431,	0.069273563
java.util.LinkedList,	16384,	4.782073431,	0.387557389
